,source,target,numVisited,pathLength,uniqueVisited,performance
983,1580034817.0,6051095782.0,84,15,44,0.8214285714285714
984,444336014.0,3994361361.0,13,4,12,0.6923076923076923
985,444336014.0,1580034888.0,14,9,13,0.3571428571428571
986,1580034875.0,6051095781.0,57,11,38,0.8070175438596492
987,444336013.0,6051095782.0,64,7,40,0.890625
988,1580034900.0,1580035688.0,18,10,18,0.4444444444444444
989,1580034884.0,6051095781.0,54,14,38,0.7407407407407407
990,444336009.0,1580035240.0,25,11,22,0.56
991,444336014.0,6051095782.0,69,7,42,0.8985507246376812
992,1580034896.0,1580034920.0,3,3,3,0.0
993,1580034883.0,1580035065.0,65,15,40,0.7692307692307692
994,1580034879.0,3994361361.0,28,7,24,0.75
995,1580034737.0,3249304308.0,101,15,45,0.8514851485148515
996,1344566969.0,1580035031.0,5,4,5,0.19999999999999996
997,444336013.0,1580034913.0,15,11,15,0.2666666666666667
998,444336013.0,1580035198.0,10,6,10,0.4
999,1344566973.0,1580035688.0,8,5,8,0.375
1000,444336014.0,1580035042.0,2,2,2,0.0
1001,1580034527.0,1580035240.0,24,13,23,0.45833333333333337
1002,1580035065.0,3249304309.0,2,2,2,0.0
1003,1580034884.0,1580035175.0,15,8,14,0.4666666666666667
1004,1580034883.0,3249304309.0,66,11,41,0.8333333333333334
1005,1580034875.0,1580035284.0,35,10,32,0.7142857142857143
1006,1580034694.0,1580035240.0,25,14,22,0.43999999999999995
1007,1580034527.0,1580034886.0,7,5,7,0.2857142857142857
1008,444336013.0,1344566973.0,13,7,12,0.46153846153846156
1009,444336014.0,1580034737.0,28,14,27,0.5
1010,1580034875.0,1580034913.0,3,3,3,0.0
1011,3249304309.0,3994361363.0,16,7,14,0.5625
1012,444336014.0,1580034886.0,9,7,8,0.2222222222222222
1013,1580034748.0,1580035350.0,14,9,12,0.3571428571428571
1014,1580034918.0,1580035061.0,34,9,27,0.7352941176470589
1015,1580034527.0,1580034920.0,11,8,11,0.2727272727272727
1016,1580034744.0,1580035240.0,24,12,22,0.5
1017,1344566966.0,1580034748.0,21,8,19,0.6190476190476191
1018,1580035175.0,1580035284.0,9,4,7,0.5555555555555556
1019,444336009.0,1580035031.0,21,9,19,0.5714285714285714
1020,1580034896.0,1580034918.0,20,9,18,0.55
1021,1344566966.0,1580034817.0,18,5,16,0.7222222222222222
